epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1407.72,1.52878,2.83586,1.61811,0.36451,0.47459,0.30936,0.16967,1.21948,31.9589,1.59139,0.000299844,0.000299844,0.000299844
2,2720.92,1.51141,1.91375,1.56439,0.42214,0.50383,0.36066,0.20621,1.28973,51.8042,1.81025,0.000590907,0.000590907,0.000590907
3,4025.56,1.48837,1.77586,1.56819,0.42651,0.65366,0.39352,0.20368,1.34903,49.517,1.72396,0.000869972,0.000869972,0.000869972
4,5356.56,1.51154,1.68871,1.56733,0.40923,0.64924,0.41005,0.24466,1.20286,35.3159,1.54381,0.000855005,0.000855005,0.000855005
5,6803.38,1.49207,1.59907,1.54782,0.40034,0.64923,0.40603,0.23449,1.22428,30.99,1.49435,0.000837007,0.000837007,0.000837007
6,8326.69,1.45195,1.5361,1.52525,0.41358,0.67062,0.40203,0.23272,1.24403,41.9362,1.61184,0.000819009,0.000819009,0.000819009
7,9770.44,1.47859,1.49008,1.51134,0.4224,0.69543,0.42803,0.2602,1.13078,33.3694,1.46351,0.000801011,0.000801011,0.000801011
8,11119.5,1.42376,1.36684,1.49205,0.45094,0.72456,0.47267,0.30128,1.17186,39.3757,1.48622,0.000783013,0.000783013,0.000783013
9,12427.8,1.42834,1.3283,1.48333,0.43993,0.5841,0.45002,0.28927,1.13805,31.5658,1.43227,0.000765014,0.000765014,0.000765014
10,13728.8,1.42699,1.29634,1.47278,0.42041,0.71418,0.45005,0.27335,1.12788,35.6475,1.44439,0.000747016,0.000747016,0.000747016
11,15007.6,1.409,1.22769,1.46277,0.42498,0.75299,0.4754,0.3101,1.04894,35.5284,1.33965,0.000729018,0.000729018,0.000729018
12,16287.7,1.39061,1.21187,1.47431,0.44437,0.7266,0.48196,0.30418,1.16285,33.6028,1.46284,0.00071102,0.00071102,0.00071102
13,17568.2,1.40855,1.18344,1.46248,0.46203,0.75301,0.46895,0.29858,1.10375,30.1867,1.46389,0.000693022,0.000693022,0.000693022
14,18842.7,1.36276,1.13526,1.43079,0.44155,0.78152,0.46691,0.29065,1.10515,39.4033,1.38471,0.000675023,0.000675023,0.000675023
15,20163,1.36811,1.10028,1.44141,0.47502,0.79269,0.49113,0.31532,1.12479,32.7758,1.42163,0.000657025,0.000657025,0.000657025
16,21570.6,1.37426,1.08331,1.43643,0.46505,0.76834,0.49077,0.33208,1.03992,33.1595,1.30692,0.000639027,0.000639027,0.000639027
